Component,RL Category,RL Number,Description,Manufacturer,Part Number,Stock Code,Electrical Address,Component Application,Reference Tag,Settings,Image,Resources,Cutsheet,Maintenance Video,Stores Part #
1,,,Electric Motor,Baldor,284TC,,,"This electric motor is the input power for the hydraulic system, turning pump 2 at 1680 rpm.",,,1.jpg,E099.mp4,Baldor ElectricMotor284TC.pdf,,Not Provided
2,,,"Pump, Axial Piston",Vickers,PVM074ER09GS02AA-28,,,"This pressure compensated axial piston pump provides flow and pressure to all components, including actuators, in the J1 hydraulic system.",,,2.jpg,H034.mp4,Vickers PVM AxialPistonPump.pdf,,Not Provided
3,,,Ball Valve,Hydac,Not Provided,,,This ball valve isolates the inlet of pump 2 from the hydraulic reservoir.,,,3.jpg,H098.mp4,Hydac BallValve.pdf,,Not Provided
4,,,Level Gauge,Lenz,Not Provided,,,This reservoir level gauge gives a visual indication of the amount of hydraulic fluid in the reservoir.,,,4.jpg,H213.mp4,Lenz Level Gauge.pdf,,Not Provided
5,,,Return Line Filter,Hydac,Not Provided,,,"This in tank return line filter is the primary source of contamination control, filtering all system contamination from entering the reservoir.",,,5.jpg,H145.mp4,HYDAC Return Filter.pdf,,Not Provided
6,,,Breather,Parker,Not Provided,,,This desiccant breather protects the reservoir from airborn particulate and moisture.,,,6.jpg,H143.mp4,Parker Dessicant Breather.pdf,,Not Provided
7,,,Venting Relief Valve,Rexroth,DBW 10 A2-30/315UG24NZ5L,,,"This venting relief valve gives system protection from over-pressurization, as well as venting the pump flow to the reservoir for fluid conditioning when the system is offline.",,,7.jpg,H301.mp4,rr68a.pdf,,Not Provided
8,,,"Heat Exchanger, Tube and Shell",Thermal Transfer,EK 500-0,,,This tube and shell heat exchanger cools the fluid as it returns to the reservoir.,,,8.jpg,H153.mp4,ThermTransHeatExchEK-Series.pdf,,Not Provided
9.1,,,Ball Valve,Hydac,Not Provided,,,This ball valve isolates the pressure line of the lift table manifold.,,,9.1.jpg,H098.mp4,Hydac BallValve.pdf,,Not Provided
9.2,,,Ball Valve,Hydac,Not Provided,,,This ball valve isolates the tank line of the lift table manifold.,,,9.2.jpg,H098.mp4,Hydac BallValve.pdf,,Not Provided
9.3,,,Ball Valve,Hydac,Not Provided,,,"This ball valve isolates the pressure line of the respective manifold, currently not in use.",,,9.3.jpg,H098.mp4,Hydac BallValve.pdf,,Not Provided
9.4,,,Ball Valve,Hydac,Not Provided,,,"This ball valve isolates the tank line of the respective manifold, currently not in use.",,,9.4.jpg,H098.mp4,Hydac BallValve.pdf,,Not Provided
9.5,,,Ball Valve,Hydac,Not Provided,,,This ball valve isolates the pressure line of the pipe kickers manifold.,,,9.5.jpg,H098.mp4,Hydac BallValve.pdf,,Not Provided
9.6,,,Ball Valve,Hydac,Not Provided,,,This ball valve isolates the tank line of the pipe kickers manifold.,,,9.6.jpg,H098.mp4,Hydac BallValve.pdf,,Not Provided
9.7,,,Ball Valve,Hydac,Not Provided,,,This ball valve isolates the pressure line of the cleanout brush manifold.,,,9.7.jpg,H098.mp4,Hydac BallValve.pdf,,Not Provided
9.8,,,Ball Valve,Hydac,Not Provided,,,This ball valve isolates the tank line of the cleanout brush manifold.,,,9.8.jpg,H098.mp4,Hydac BallValve.pdf,,Not Provided
10.1,,,"3-Pos, 4-Way Directional Control Valve",Eaton,DG4S4-016C-U-H-60,,,"This 3-position, 4-way, float-centered directional control valve provides directional flow to extend or retract hydraulic cylinder 13.1.",,,10.1.jpg,H088.mp4,Eaton DCV DG4SA.pdf,,Not Provided
10.2,,,"3-Pos, 4-Way Directional Control Valve",Eaton,DG4S4-016C-U-H-60,,,"This 3-position, 4-way, float-centered directional control valve provides directional flow to extend or retract hydraulic cylinder 13.2.",,,10.2.jpg,H088.mp4,Eaton DCV DG4SA.pdf,,Not Provided
10.3,,,"3-Pos, 4-Way Directional Control Valve",Eaton,DG4S4-016C-U-H-60,,,"This 3-position, 4-way, float-centered directional control valve provides directional flow to its respective manifold actuators, currently not in use.",,,10.3.jpg,H088.mp4,Eaton DCV DG4SA.pdf,,Not Provided
10.4,,,"3-Pos, 4-Way Directional Control Valve",Eaton,DG4S4-016C-U-H-60,,,"This 3-position, 4-way, float-centered directional control valve provides directional flow to its respective manifold actuators, currently not in use.",,,10.4.jpg,H088.mp4,Eaton DCV DG4SA.pdf,,Not Provided
10.5,,,"3-Pos, 4-Way Directional Control Valve",Eaton,DG4S4-016C-U-H-60,,,"This 3-position, 4-way, float-centered directional control valve provides directional flow to extend or retract hydraulic cylinders 13.3 and 13.4.",,,10.5.jpg,H088.mp4,Eaton DCV DG4SA.pdf,,Not Provided
